Age,Year,Month,Region,Death
0-7 days,2012,5,Yorkshire and The Humber,0
0-7 days,2012,6,Yorkshire and The Humber,0
0-7 days,2012,7,East of England,1
0-7 days,2012,8,South East,0
0-7 days,2012,9,West Midlands,1
0-7 days,2012,10,West Midlands,1
Adult,2012,1,East of England,2
Adult,2012,1,Scotland,0
Adult,2012,1,South East,1
Adult,2012,1,South West,0
Adult,2012,1,Wales,0
Adult,2012,1,West Midlands,0
Adult,2012,1,Yorkshire and The Humber,0
Adult,2012,2,East Midlands,0
Adult,2012,2,East of England,0
Adult,2012,2,Scotland,2
Adult,2012,2,South East,0
Adult,2012,2,South West,0
Adult,2012,3,East of England,0
Adult,2012,3,North West,0
Adult,2012,3,Scotland,0
Adult,2012,3,South East,0
Adult,2012,3,South West,0
Adult,2012,3,Wales,2
Adult,2012,3,Yorkshire and The Humber,0
Adult,2012,4,East Midlands,0
Adult,2012,4,North West,0
Adult,2012,4,Scotland,0
Adult,2012,4,South East,2
Adult,2012,4,South West,0
Adult,2012,4,West Midlands,1
Adult,2012,5,East Midlands,0
Adult,2012,5,East of England,0
Adult,2012,5,North West,0
Adult,2012,5,Scotland,0
Adult,2012,5,South West,0
Adult,2012,5,Wales,0
Adult,2012,5,Yorkshire and The Humber,0
Adult,2012,6,East Midlands,0
Adult,2012,6,East of England,2
Adult,2012,6,South West,0
Adult,2012,6,West Midlands,0
Adult,2012,7,Scotland,0
Adult,2012,7,South East,2
Adult,2012,8,East Midlands,2
Adult,2012,8,East of England,0
Adult,2012,8,North West,0
Adult,2012,8,Scotland,1
Adult,2012,8,South East,2
Adult,2012,8,South West,1
Adult,2012,8,Wales,0
Adult,2012,8,West Midlands,0
Adult,2012,9,East Midlands,0
Adult,2012,9,London,1
Adult,2012,9,North East,0
Adult,2012,9,North West,0
Adult,2012,9,South West,0
Adult,2012,9,Wales,1
Adult,2012,10,East of England,2
Adult,2012,10,North East,0
Adult,2012,10,North West,0
Adult,2012,10,Scotland,1
Adult,2012,10,South East,1
Adult,2012,10,South West,0
Adult,2012,10,Wales,0
