Year,Month,District,Max  temp,Min Temp,Days of frost in the air (days 0 or below),Rainfall,Sunshine,Temperature
2012,1,Wales,8,2.9,8.3,129.9,50.2,5.45
2012,2,Wales,7,1.2,11.6,64.3,59.8,4.1
2012,3,Wales,12,3.7,1.9,31.4,153.3,7.85
2012,4,Wales,10.2,2.9,5.1,169.2,121.1,6.55
2012,5,Wales,15.3,6.5,0.5,77,207.1,10.9
2012,6,Wales,16,9.5,0,218.6,118.7,12.75
2012,7,Wales,17.7,10.7,0,132.7,144.4,14.2
2012,8,Wales,18.9,12,0,156.8,134.1,15.45
2012,9,Wales,15.6,8.3,0,130.8,123.3,11.95
2012,10,Wales,12.1,5.9,1.5,148.8,88.4,9
2012,11,Wales,9.1,3,5.3,178,58.3,6.05
2012,12,Wales,7.6,1.9,9.7,264.9,44,4.75
2012,1,South West,8.8,3.5,6.4,104,58,6.15
2012,2,South West,7.5,1.4,11.5,45.9,68.7,4.45
2012,3,South West,12.5,4.1,1.6,28.9,165.8,8.3
2012,4,South West,11.1,3.2,3.9,174.6,135.9,7.15
2012,5,South West,16,7.2,0.1,60.3,206.5,11.6
2012,6,South West,16.6,10.2,0,193.9,110.6,13.4
2012,7,South West,18.5,11,0,131.5,166.1,14.75
2012,8,South West,19.4,12.7,0,150.6,145.3,16.05
2012,9,South West,16.7,8.8,0,94,141.9,12.75
2012,10,South West,13.1,6.8,1.2,153.9,91.8,9.95
2012,11,South West,9.9,3.8,3.7,185,63.3,6.85
2012,12,South West,8.7,2.8,7.8,243.5,52.3,5.75
2012,1,England NW & N Wales,7.4,2.1,9.7,125.5,55,4.75
2012,2,England NW & N Wales,6.7,1.3,11.7,69,55.6,4
2012,3,England NW & N Wales,11.9,3.9,1.9,31.8,148.5,7.9
2012,4,England NW & N Wales,10,2.8,5.1,128.5,120.3,6.4
2012,5,England NW & N Wales,15.1,6.1,1.4,77.5,208.1,10.6
2012,6,England NW & N Wales,15.8,9,0,205.7,113.5,12.4
2012,7,England NW & N Wales,17.5,10.9,0,141.6,125.4,14.2
2012,8,England NW & N Wales,19,11.6,0,142.2,137,15.3
2012,9,England NW & N Wales,15.3,8.5,0.2,177.7,116.5,11.9
2012,10,England NW & N Wales,11.7,5.2,1.5,140.7,92.3,8.45
2012,11,England NW & N Wales,8.7,3,5.5,160.6,57.8,5.85
2012,12,England NW & N Wales,6.7,1.2,10.8,223.9,43.4,3.95
2012,1,Midlands,8.2,1.9,9.4,62.7,69.7,5.05
2012,2,Midlands,7,0.5,13.3,29.1,69.1,3.75
2012,3,Midlands,12.9,3.1,2.7,22.9,167.6,8
2012,4,Midlands,11,2.9,5,140.2,116.8,6.95
2012,5,Midlands,16.2,6.8,0.6,51.7,196.2,11.5
2012,6,Midlands,17.1,9.6,0,151.9,107.1,13.35
2012,7,Midlands,19.4,11.1,0,112.6,162.4,15.25
2012,8,Midlands,20.6,11.9,0,88.1,149.4,16.25
2012,9,Midlands,17.2,8.1,0,87.5,155.1,12.65
2012,10,Midlands,12.4,5.6,1.4,86.8,96.3,9
2012,11,Midlands,9.2,3,5.7,113.2,65.2,6.1
2012,12,Midlands,7.3,1.2,10.6,137.4,58.1,4.25
2012,1,East Anlia,8.8,2.4,9.2,42.1,72.1,5.6
2012,2,East Anlia,7,0.3,14.1,17.8,83.6,3.65
2012,3,East Anlia,12.8,2.8,3.1,34.1,155.6,7.8
2012,4,East Anlia,11.9,3.5,3.9,112.4,136.8,7.7
2012,5,East Anlia,16.5,7.8,0.1,48.5,170.1,12.15
2012,6,East Anlia,18.3,10,0,98.9,146.4,14.15
2012,7,East Anlia,20.7,11.6,0,107.2,171.9,16.15
2012,8,East Anlia,22.7,12.7,0,47.9,188.9,17.7
2012,9,East Anlia,19,8.5,0,40.3,179,13.75
2012,10,East Anlia,13.4,6.7,0.6,88.1,92,10.05
2012,11,East Anlia,10,3.6,3.5,74.6,74.6,6.8
2012,12,East Anlia,7.8,1.6,10,97.9,51.3,4.7
2012,1,Englad SE & Centra SOuth,9.3,2.8,8.4,48.7,73.2,6.05
2012,2,Englad SE & Centra SOuth,7.2,0.3,14.5,19.3,83.7,3.75
2012,3,Englad SE & Centra SOuth,13.5,3.3,2.3,26.6,174.5,8.4
2012,4,Englad SE & Centra SOuth,12.2,3.4,4.4,133.8,155.7,7.8
2012,5,Englad SE & Centra SOuth,17.1,8.1,0,42.7,191.6,12.6
2012,6,Englad SE & Centra SOuth,18,10.4,0,138.3,141.3,14.2
2012,7,Englad SE & Centra SOuth,20.2,11.6,0,103.7,179.1,15.9
2012,8,Englad SE & Centra SOuth,21.7,12.8,0,56,188.5,17.25
2012,9,Englad SE & Centra SOuth,18.7,8.7,0,66.9,181.1,13.7
2012,10,Englad SE & Centra SOuth,13.7,7.1,1.5,125,86,10.4
2012,11,Englad SE & Centra SOuth,10.4,3.8,4.3,102.2,74.9,7.1
2012,12,Englad SE & Centra SOuth,8.7,2,10.5,142.5,60.9,5.35
2012,1,England E & NE,7.4,1.3,10,47.3,73.3,4.35
2012,2,England E & NE,7,0.7,13.4,24,74.2,3.85
2012,3,England E & NE,12.5,3.1,2.8,21.5,176,7.8
2012,4,England E & NE,10.1,2.7,5,141.2,106.8,6.4
2012,5,England E & NE,14.6,5.9,2,62.1,194,10.25
2012,6,England E & NE,16.2,8.8,0,141.6,107.5,12.5
2012,7,England E & NE,18.4,10.7,0,96.5,144.7,14.55
2012,8,England E & NE,20.1,11.2,0,88,154.9,15.65
2012,9,England E & NE,16.6,8.2,0.1,94.6,156,12.4
2012,10,England E & NE,11.8,4.6,1.6,86.3,107.4,8.2
2012,11,England E & NE,8.8,2.8,6.4,112.1,69.1,5.8
2012,12,England E & NE,6.3,0.8,11.3,128,57.9,3.55
2012,1,Scotland,5.8,0.6,13.3,181.7,43.7,3.2
2012,2,Scotland,7.1,1.6,9.9,105.8,49.9,4.35
2012,3,Scotland,10.9,3.2,4.6,57.5,124.9,7.05
2012,4,Scotland,8.6,1.3,10.2,114.1,119.1,4.95
2012,5,Scotland,13.3,4.2,4.7,82.9,203.1,8.75
2012,6,Scotland,14,7.1,0.5,126.3,108.9,10.55
2012,7,Scotland,15.6,8.9,0,125.4,97.9,12.25
2012,8,Scotland,17.3,9.7,0.1,134.9,136.2,13.5
2012,9,Scotland,13.5,7.1,0.8,145.9,112.2,10.3
2012,10,Scotland,9.5,2.7,6.7,150.9,80.8,6.1
2012,11,Scotland,7.3,1.7,9.4,158.9,51.5,4.5
2012,12,Scotland,5,-0.2,15.6,212.2,28.4,2.4
2013,1,Wales,6,1.4,15.1,140.3,36.4,3.7
2013,2,Wales,5.7,0.2,13.8,76.2,69,2.95
2013,3,Wales,5.5,-0.7,19.9,88.1,99.7,2.4
2013,4,Wales,10.3,2.5,8.9,54,159.4,6.4
2013,5,Wales,13.4,5.1,1,113.3,183.6,9.25
2013,6,Wales,17.1,8.6,0,62.4,188,12.85
2013,7,Wales,22.4,12,0,62.6,285.4,17.2
2013,8,Wales,19.4,11.6,0,108.6,153.1,15.5
2013,9,Wales,16.8,9.5,0,74.2,101.6,13.15
2013,10,Wales,14.5,9.2,0,224.9,72.1,11.85
2013,11,Wales,9.2,3.1,5.4,113.7,60.5,6.15
